Unnamed: 0,date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
36,2020-10-03 04:03:31,16066.0,12203.0,en,"Charlottesville, VA",43.0,EbonyJHilton_MD,"Let me break this down to administration, aides, &amp; families of those persons to save you time. Even if you test negative, you’re likely positive. You didn’t practice social distancing. You didn’t wear masks. And you shared breaths w/ a #COVID positive person #QuarantineFor14Days",1.3122418493908173e+18,0.0,"['COVID', 'QuarantineFor14Days']","Let me break this down to administration, aides, &amp; families of those persons to save you time. Even if you test negative, youre likely positive. You didnt practice social distancing. You didnt wear masks. And you shared breaths w/ a positive person","['let', 'break', 'administr', 'aid', '&', 'amp', 'famili', 'person', 'save', 'time', 'even', 'test', 'neg', 'your', 'like', 'posit', 'you', 'didnt', 'practic', 'social', 'distanc', 'you', 'didnt', 'wear', 'mask', 'and', 'share', 'breath', 'w/', 'posit', 'person']"
31,2020-10-03 04:03:46,16066.0,12203.0,en,"Charlottesville, VA",34.0,EbonyJHilton_MD,"@politicoalex Let me break this down to administration, aides, &amp; families of those persons to save you time. Even if you test negative, you’re likely positive. You didn’t practice social distancing. You didn’t wear masks. And you shared breaths w/ a #COVID positive person #QuarantineFor14Days",1.312241912754172e+18,0.0,"['COVID', 'QuarantineFor14Days']","Let me break this down to administration, aides, &amp; families of those persons to save you time. Even if you test negative, youre likely positive. You didnt practice social distancing. You didnt wear masks. And you shared breaths w/ a positive person","['let', 'break', 'administr', 'aid', '&', 'amp', 'famili', 'person', 'save', 'time', 'even', 'test', 'neg', 'your', 'like', 'posit', 'you', 'didnt', 'practic', 'social', 'distanc', 'you', 'didnt', 'wear', 'mask', 'and', 'share', 'breath', 'w/', 'posit', 'person']"
15,2020-10-03 04:08:01,19096.0,482.0,en,Pacific Northwest,0.0,ameliorate_d,"@SamaritansPurse @Franklin_Graham I wouldn't trust Samaritans Purse to keep anyone safe from covid19, since Franklin blatantly avoided wearing a mask and social distancing, only to find out he sat next to covid carrying jenkins.",1.3122429811061883e+18,0.0,[],"I wouldn't trust Samaritans Purse to keep anyone safe from covid19, since Franklin blatantly avoided wearing a mask and social distancing, only to find out he sat next to covid carrying jenkins.","['would', ""n't"", 'trust', 'samaritan', 'purs', 'keep', 'anyon', 'safe', 'covid19', 'sinc', 'franklin', 'blatantli', 'avoid', 'wear', 'mask', 'social', 'distanc', 'find', 'sat', 'next', 'covid', 'carri', 'jenkin']"
26,2020-10-03 04:08:49,19930.0,147.0,en,"Blackfoot, ID",0.0,cathompson,"I mean, it's pretty clear that #COVID19 is most definitely NOT a hoax. I strongly urge all of my followers to please #wearamask, #washyourhands &amp; practice physical distancing, all when necessary at appropriate times. #COVIDIsSerious #TrumpHasCovid",1.3122431838126612e+18,0.0,"['COVID19', 'wearamask', 'washyourhands', 'COVIDIsSerious', 'TrumpHasCovid']","I mean, it's pretty clear that is most definitely NOT a hoax. I strongly urge all of my followers to please , &amp; practice physical distancing, all when necessary at appropriate times.","['mean', ""'s"", 'pretti', 'clear', 'definit', 'not', 'hoax', 'strongli', 'urg', 'follow', 'pleas', '&', 'amp', 'practic', 'physic', 'distanc', 'necessari', 'appropri', 'time']"
17,2020-10-03 04:08:55,13661.0,3033.0,en,"Ohio, USA",0.0,gruffchick,"@realDonaldTrump PLEASE start taking #COVID19 seriously now. It's not a hoax or Dem ploy. It's very real and has torn too many souls from their families. Lead us in the war against this virus. Promote masks, social distancing, hand washing, and other measures.",1.3122432087899218e+18,0.0,['COVID19'],"PLEASE start taking seriously now. It's not a hoax or Dem ploy. It's very real and has torn too many souls from their families. Lead us in the war against this virus. Promote masks, social distancing, hand washing, and other measures.","['pleas', 'start', 'take', 'serious', 'It', ""'s"", 'hoax', 'dem', 'ploy', 'It', ""'s"", 'real', 'torn', 'mani', 'soul', 'famili', 'lead', 'us', 'war', 'viru', 'promot', 'mask', 'social', 'distanc', 'hand', 'wash', 'measur']"
41,2020-10-03 04:10:32,35751.0,460.0,en,"Tampa, FL",1009.0,_Tommyg7,RT @NikkiMcR: Matt Gaetz is on Fox arguing that Trump getting COVID is proof that social distancing measures are ultimately futile and we s…,1.312243614748156e+18,0.0,[],: Matt Gaetz is on Fox arguing that Trump getting COVID is proof that social distancing measures are ultimately futile and we s,"[':', 'matt', 'gaetz', 'fox', 'argu', 'trump', 'get', 'covid', 'proof', 'social', 'distanc', 'measur', 'ultim', 'futil']"
37,2020-10-03 04:11:58,60961.0,5668.0,en,"Honolulu, HI",8.0,NavyCaptRet63XX,"This is shameful more aides Trump administration tested positive #COVID19 its all because they followed the presidents irresponsible behavior, not wearing face mask, no social distancing holding events disregarding science and experts advice. And putting others at extreme risk.",1.3122439762845082e+18,0.0,['COVID19'],"This is shameful more aides Trump administration tested positive its all because they followed the presidents irresponsible behavior, not wearing face mask, no social distancing holding events disregarding science and experts advice. And putting others at extreme risk.","['thi', 'shame', 'aid', 'trump', 'administr', 'test', 'posit', 'follow', 'presid', 'irrespons', 'behavior', 'wear', 'face', 'mask', 'social', 'distanc', 'hold', 'event', 'disregard', 'scienc', 'expert', 'advic', 'and', 'put', 'other', 'extrem', 'risk']"
23,2020-10-03 04:12:49,6262.0,1330.0,en,New York City,0.0,MilesQBlack1,"@realDonaldTrump #JoeBden: healthy #donaldtrump: unhealthy Biden: wears a mask at all times, practices social distancing &amp; doesn't put people's health in danger. Negative for #Covid19 trump: mocks people who wear masks &amp; puts people's health in danger. Positive for #TrumpVirus. #TrumpHasCovid",1.3122441905044603e+18,0.0,"['JoeBden', 'donaldtrump', 'Covid19', 'TrumpVirus', 'TrumpHasCovid']",": healthy : unhealthy Biden: wears a mask at all times, practices social distancing &amp; doesn't put people's health in danger. Negative for trump: mocks people who wear masks &amp; puts people's health in danger. Positive for .","[':', 'healthi', ':', 'unhealthi', 'biden', ':', 'wear', 'mask', 'time', 'practic', 'social', 'distanc', '&', 'amp', ""n't"", 'put', 'peopl', ""'s"", 'health', 'danger', 'neg', 'trump', ':', 'mock', 'peopl', 'wear', 'mask', '&', 'amp', 'put', 'peopl', ""'s"", 'health', 'danger', 'posit']"
12,2020-10-08 15:57:42,6561.0,25433.0,en,"Minnesota, USA",52.0,RepDeanPhillips,"I’m a Gold Star son. The president who hosts indoor gatherings, criticizes mask wearing and social distancing, dismisses his @CDC’s guidelines and puts others at risk is now blaming Gold Star families for infecting him? Any wonder why America leads the world in covid deaths?",1.3142335155428106e+18,1.0,[],"Im a Gold Star son. The president who hosts indoor gatherings, criticizes mask wearing and social distancing, dismisses his guidelines and puts others at risk is now blaming Gold Star families for infecting him? Any wonder why America leads the world in covid deaths?","['Im', 'gold', 'star', 'son', 'the', 'presid', 'host', 'indoor', 'gather', 'critic', 'mask', 'wear', 'social', 'distanc', 'dismiss', 'guidelin', 'put', 'other', 'risk', 'blame', 'gold', 'star', 'famili', 'infect', 'ani', 'wonder', 'america', 'lead', 'world', 'covid', 'death']"
10,2020-10-08 15:58:38,7678.0,695.0,en,"Boise, ID",0.0,chrisbrown2075,Family had the flu this week. Got tested for COVID on Sunday. Came back today negative... We were wearing masks and social distancing. Friendly reminder that masks and distancing are meant to slow the spread until we get a vaccine. They are not foolproof...,1.3142337503398175e+18,0.0,[],Family had the flu this week. Got tested for COVID on Sunday. Came back today negative... We were wearing masks and social distancing. Friendly reminder that masks and distancing are meant to slow the spread until we get a vaccine. They are not foolproof...,"['famili', 'flu', 'week', 'got', 'test', 'covid', 'sunday', 'came', 'back', 'today', 'neg', '...', 'We', 'wear', 'mask', 'social', 'distanc', 'friendli', 'remind', 'mask', 'distanc', 'meant', 'slow', 'spread', 'get', 'vaccin', 'they', 'foolproof', '...']"
29,2020-10-08 15:58:46,138.0,1528.0,en,Oxford,1.0,jeremy_hume,@JanColl05831542 @rodbishop15 @Bob261048 The Spanish lockdown was particularly strict. In Spain masks are mandatory inside and outdoors. Despite this Spanish cases rose sharply throughout September. Mandatory distancing/mask wearing does not work. Boris's arbitrary coronavirus restrictions will achieve nothing.,1.314233786595455e+18,0.0,[],The Spanish lockdown was particularly strict. In Spain masks are mandatory inside and outdoors. Despite this Spanish cases rose sharply throughout September. Mandatory distancing/mask wearing does not work. Boris's arbitrary coronavirus restrictions will achieve nothing.,"['the', 'spanish', 'lockdown', 'particularli', 'strict', 'In', 'spain', 'mask', 'mandatori', 'insid', 'outdoor', 'despit', 'spanish', 'case', 'rose', 'sharpli', 'throughout', 'septemb', 'mandatori', 'distancing/mask', 'wear', 'work', 'bori', ""'s"", 'arbitrari', 'coronaviru', 'restrict', 'achiev', 'noth']"
8,2020-10-08 16:00:18,138.0,1528.0,en,Oxford,0.0,jeremy_hume,@GreggersWerle @B_E_Andre @LBC @mrjamesob Spain's lockdown was extremely strict. In Spain masks are mandatory inside and outdoors. Even with these restrictions Spanish cases rose sharply throughout September. Mandatory distancing/mask wearing does not work. The UK coronavirus restrictions will achieve nothing.,1.314234170575655e+18,0.0,[],Spain's lockdown was extremely strict. In Spain masks are mandatory inside and outdoors. Even with these restrictions Spanish cases rose sharply throughout September. Mandatory distancing/mask wearing does not work. The UK coronavirus restrictions will achieve nothing.,"['spain', ""'s"", 'lockdown', 'extrem', 'strict', 'In', 'spain', 'mask', 'mandatori', 'insid', 'outdoor', 'even', 'restrict', 'spanish', 'case', 'rose', 'sharpli', 'throughout', 'septemb', 'mandatori', 'distancing/mask', 'wear', 'work', 'the', 'UK', 'coronaviru', 'restrict', 'achiev', 'noth']"
