Unnamed: 0,date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
25,2020-06-04 08:26:00,29906.0,690.0,en,"New York, USA",1921.0,AnnaFitting,"RT @PrisonPlanet: Hey Piers Morgan, since you're so worried about the spread of COVID and ""social distancing,"" are you gonna mention this d…",1.2684589705718374e+18,0.0,[],": Hey Piers Morgan, since you're so worried about the spread of COVID and ""social distancing,"" are you gonna mention this d","[':', 'hey', 'pier', 'morgan', 'sinc', ""'re"", 'worri', 'spread', 'covid', '``', 'social', 'distanc', ""''"", 'gon', 'na', 'mention']"
24,2020-06-04 18:21:57,875.0,11520.0,en,"Los Angeles, CA",1.0,bydavidsteinman,Please keep social distancing for the sake of those who are most vulnerable to the #coronavirus. It’s Not Looking Good in Sweden Right Now by @landmanspeaking in @elemental,1.2686089475790193e+18,0.0,['coronavirus'],Please keep social distancing for the sake of those who are most vulnerable to the . Its Not Looking Good in Sweden Right Now by in,"['pleas', 'keep', 'social', 'distanc', 'sake', 'vulner', 'it', 'not', 'look', 'good', 'sweden', 'right', 'now']"
4,2020-06-04 18:22:17,563.0,2308.0,en,"Columbus, OH",0.0,astutesolutions,"Coronavirus isn’t the only thing that is contagious – so is fear. And fear is what your HR team will be battling as we #reopentheeconomy. Read how health screening, social distancing, &amp; hygiene will be critical to winning the trust of your employees.",1.2686090337008148e+18,0.0,['reopentheeconomy'],"Coronavirus isnt the only thing that is contagious so is fear. And fear is what your HR team will be battling as we . Read how health screening, social distancing, &amp; hygiene will be critical to winning the trust of your employees.","['coronaviru', 'isnt', 'thing', 'contagi', 'fear', 'and', 'fear', 'HR', 'team', 'battl', 'read', 'health', 'screen', 'social', 'distanc', '&', 'amp', 'hygien', 'critic', 'win', 'trust', 'employe']"
37,2020-06-04 18:23:49,9657.0,407.0,en,"Hagerstown, Maryland",0.0,RLRottman,She walked through a group of peaceful protesters yesterday. Many of them were not wearing face coverings. None of them were not practicing physical distancing. Shouldn't she be in self-quarantine? #COVID19 #COVIDIOTS,1.2686094160451707e+18,0.0,"['COVID19', 'COVIDIOTS']",She walked through a group of peaceful protesters yesterday. Many of them were not wearing face coverings. None of them were not practicing physical distancing. Shouldn't she be in self-quarantine?,"['she', 'walk', 'group', 'peac', 'protest', 'yesterday', 'mani', 'wear', 'face', 'cover', 'none', 'practic', 'physic', 'distanc', 'should', ""n't"", 'self-quarantin']"
8,2020-06-04 18:24:08,156.0,75.0,en,"St Louis, MO",0.0,STLInjuryLaw15,"The CDC’s new guidance, issued late last month, does not downplay the importance of regular hand washing and continued social distancing. #CDC #coronavirus #attorney #StLouis #Missouri #Illinois",1.2686094956782346e+18,0.0,"['CDC', 'coronavirus', 'attorney', 'StLouis', 'Missouri', 'Illinois']","The CDCs new guidance, issued late last month, does not downplay the importance of regular hand washing and continued social distancing.","['the', 'cdc', 'new', 'guidanc', 'issu', 'late', 'last', 'month', 'downplay', 'import', 'regular', 'hand', 'wash', 'continu', 'social', 'distanc']"
19,2020-06-04 18:24:18,140.0,603.0,en,"Sacramento, CA",0.0,STWI2020,"@iBringBalance @blue_augustus @TheKanehB Marcos, just think if we don’t see a spike in new Covid cases in the next 7-14 days, quarantine/social distancing no longer should exist and everything should open back up. Don’t you think?",1.268609540343206e+18,0.0,[],"Marcos, just think if we dont see a spike in new Covid cases in the next -14 days, quarantine/social distancing no longer should exist and everything should open back up. Dont you think?","['marco', 'think', 'dont', 'see', 'spike', 'new', 'covid', 'case', 'next', '-14', 'day', 'quarantine/soci', 'distanc', 'longer', 'exist', 'everyth', 'open', 'back', 'dont', 'think']"
27,2020-06-04 18:26:57,2721.0,9519.0,en,"Florida, ",0.0,soflliving,"COVID deaths are almost at 110,000 people. You can protest safely by wearing a mask and social distancing.",1.2686102047925084e+18,0.0,[],COVID deaths are almost at people. You can protest safely by wearing a mask and social distancing.,"['covid', 'death', 'almost', 'peopl', 'you', 'protest', 'safe', 'wear', 'mask', 'social', 'distanc']"
36,2020-06-04 18:29:02,1282.0,69946.0,en,"San Antonio, TX",0.0,KellyOlexa,"Is it safe to go to a pool, the beach or a park? A doctor offers guidance as coronavirus distancing measures lifted",1.268610731282489e+18,0.0,[],"Is it safe to go to a pool, the beach or a park? A doctor offers guidance as coronavirus distancing measures lifted","['Is', 'safe', 'go', 'pool', 'beach', 'park', 'A', 'doctor', 'offer', 'guidanc', 'coronaviru', 'distanc', 'measur', 'lift']"
35,2020-06-04 18:29:39,24234.0,108510.0,en,"Washington, DC",56.0,lthomasnews,"Why don't people care about Covid as much? Inconsistent expert messaging, alarmist media predictions that didn't come true, bad-faith media undermining real public health concerns, social distancing fatigue, willingness to tolerate death as statistical abstractions. Here we are.",1.268610886261977e+18,1.0,[],"Why don't people care about Covid as much? Inconsistent expert messaging, alarmist media predictions that didn't come true, bad-faith media undermining real public health concerns, social distancing fatigue, willingness to tolerate death as statistical abstractions. Here we are.","['whi', ""n't"", 'peopl', 'care', 'covid', 'much', 'inconsist', 'expert', 'messag', 'alarmist', 'media', 'predict', ""n't"", 'come', 'true', 'bad-faith', 'media', 'undermin', 'real', 'public', 'health', 'concern', 'social', 'distanc', 'fatigu', 'willing', 'toler', 'death', 'statist', 'abstract', 'here']"
0,2020-06-04 18:31:51,26772.0,10380.0,en,"Las Vegas, NV",1.0,336raven,"@RealJamesWoods @luluhall13 The hypocrisy. #floyd funeral/memorial gathering (live steaming) big crowd! I better not hear another dang word about covid, social distancing, businesses not being allowed to open, people being fined for going to church or anywhere!",1.2686114415081882e+18,0.0,['floyd'],"The hypocrisy. funeral/memorial gathering (live steaming) big crowd! I better not hear another dang word about covid, social distancing, businesses not being allowed to open, people being fined for going to church or anywhere!","['the', 'hypocrisi', 'funeral/memori', 'gather', 'live', 'steam', 'big', 'crowd', '!', 'better', 'hear', 'anoth', 'dang', 'word', 'covid', 'social', 'distanc', 'busi', 'allow', 'open', 'peopl', 'fine', 'go', 'church', 'anywher', '!']"
3,2020-06-04 18:35:33,10275.0,2270.0,en,portsmouth ,0.0,deafielisa,I attended funeral today for dear friend with social distancing measures in place.I realised how much changed since covid. When someone dies you want to comfort and support them. How do you do that 2 mtrs away ??so v hard. Heres a poem her family read.,1.2686123688813978e+18,0.0,[],I attended funeral today for dear friend with social distancing measures in place.I realised how much changed since covid. When someone dies you want to comfort and support them. How do you do that mtrs away ??so v hard. Heres a poem her family read.,"['attend', 'funer', 'today', 'dear', 'friend', 'social', 'distanc', 'measur', 'place.i', 'realis', 'much', 'chang', 'sinc', 'covid', 'when', 'someon', 'die', 'want', 'comfort', 'support', 'how', 'mtr', 'away', 'v', 'hard', 'here', 'poem', 'famili', 'read']"
3,2020-06-04 04:00:37,25307.0,804.0,en,"Asheville, NC",0.0,CarolinaCates,"@KassyDillon Our understanding is so limited. It's extremely deadly for some people &amp; spreads quickly. However, a few coastal cities in South Carolina should be obliterated by the Wuhan Virus based on lack of social distancing &amp; number of visitors from northeast since May 1, but they aren't.",1.2683921881085174e+18,0.0,[],"Our understanding is so limited. It's extremely deadly for some people &amp; spreads quickly. However, a few coastal cities in South Carolina should be obliterated by the Wuhan Virus based on lack of social distancing &amp; number of visitors from northeast since May , but they aren't.","['our', 'understand', 'limit', 'It', ""'s"", 'extrem', 'deadli', 'peopl', '&', 'amp', 'spread', 'quickli', 'howev', 'coastal', 'citi', 'south', 'carolina', 'obliter', 'wuhan', 'viru', 'base', 'lack', 'social', 'distanc', '&', 'amp', 'number', 'visitor', 'northeast', 'sinc', 'may', ""n't""]"
8,2020-06-04 04:00:51,7122.0,555.0,en,United States,0.0,MickeyZhivago,"@chelseahandler The lack of social distancing is a disrespectful and dangerous act against fellow citizens. In 2-3 weeks, expectly a deadly spike in COVID cases. - Dr. Fauci Thanks, Chelsea.",1.268392247214649e+18,0.0,[],"The lack of social distancing is a disrespectful and dangerous act against fellow citizens. In -3 weeks, expectly a deadly spike in COVID cases. - Dr. Fauci Thanks, Chelsea.","['the', 'lack', 'social', 'distanc', 'disrespect', 'danger', 'act', 'fellow', 'citizen', 'In', '-3', 'week', 'expectli', 'deadli', 'spike', 'covid', 'case', '-', 'dr.', 'fauci', 'thank', 'chelsea']"
27,2020-06-04 04:04:26,50748.0,1158.0,en,United States,0.0,ColumbianMitch,"@idealskeptic @SecretaryLevine Um no, I’m against the policy forcing the population with the highest CFR to mingle with COVID patients. I’m sorry to inform you, but there are mass gatherings (w/o social distancing) happening across PA, so yeah it will certainly get worse, thanks Sherlock",1.2683931490109809e+18,0.0,[],"Um no, Im against the policy forcing the population with the highest CFR to mingle with COVID patients. Im sorry to inform you, but there are mass gatherings (w/o social distancing) happening across PA, so yeah it will certainly get worse, thanks Sherlock","['Um', 'Im', 'polici', 'forc', 'popul', 'highest', 'cfr', 'mingl', 'covid', 'patient', 'Im', 'sorri', 'inform', 'mass', 'gather', 'w/o', 'social', 'distanc', 'happen', 'across', 'PA', 'yeah', 'certainli', 'get', 'wors', 'thank', 'sherlock']"
12,2020-06-04 04:07:01,4520.0,3240.0,en,"Madison, WI 53703",0.0,Tortured_Verse,"@mattyglesias I mean it's true. One of the reasons I don't go to a protest is because I fear catching COVID. Thousands or hundreds of people, many shouting or chanting, can't possibly always for hours be safely practicing social distancing, etc.",1.2683937974168207e+18,0.0,[],"I mean it's true. One of the reasons I don't go to a protest is because I fear catching COVID. Thousands or hundreds of people, many shouting or chanting, can't possibly always for hours be safely practicing social distancing, etc.","['mean', ""'s"", 'true', 'one', 'reason', ""n't"", 'go', 'protest', 'fear', 'catch', 'covid', 'thousand', 'hundr', 'peopl', 'mani', 'shout', 'chant', 'ca', ""n't"", 'possibl', 'alway', 'hour', 'safe', 'practic', 'social', 'distanc', 'etc']"
17,2020-06-04 04:07:48,12391.0,2283.0,en,"Jersey City, NJ",10.0,AmolSinha,An elegant solution: give people incarcerated during a pandemic credits for time served. Scores of ppl will be released in the next few months. It makes sense to let them out now to self isolate &amp; allow social distancing in prison rather than risk #COVID exposure/death inside.,1.2683939944191468e+18,0.0,['COVID'],An elegant solution: give people incarcerated during a pandemic credits for time served. Scores of ppl will be released in the next few months. It makes sense to let them out now to self isolate &amp; allow social distancing in prison rather than risk exposure/death inside.,"['An', 'eleg', 'solut', ':', 'give', 'peopl', 'incarcer', 'pandem', 'credit', 'time', 'serv', 'score', 'ppl', 'releas', 'next', 'month', 'It', 'make', 'sens', 'let', 'self', 'isol', '&', 'amp', 'allow', 'social', 'distanc', 'prison', 'rather', 'risk', 'exposure/death', 'insid']"
