,Unnamed: 0,tweet_id,date,screen_name,location,tweet,retweet_count,favourites_count,hashtags,clean_tweet,processed_tweet,followers_count,language,verified
197,197,1278272142203912193,2020-07-01,neilflochmd,,"We need Americans to keep safe. Now the rules are simple: keep 6 feet apart and wear a mask in public. It’s not unconstitutional, it’s what we need to do as citizens to protect our families from the spread of sickness and death #Covid19 COVID-19 #coronavirus …",1,6,"['Covid19', 'coronavirus']","We need Americans to keep safe. Now the rules are simple: keep feet apart and wear a mask in public. Its not unconstitutional, its what we need to do as citizens to protect our families from the spread of sickness and death COVID-19","['We', 'need', 'american', 'keep', 'safe', 'now', 'rule', 'simpl', ':', 'keep', 'feet', 'apart', 'wear', 'mask', 'public', 'it', 'unconstitut', 'need', 'citizen', 'protect', 'famili', 'spread', 'sick', 'death', 'covid-19']",0,en,
198,198,1278264298196865031,2020-07-01,laurahalm1011,,Coming up on 10/11 This Morning: ✔️Nearly 200 new cases of #COVID19 in NE in 24hrs & nearly 200 recoveries ✔️Viral video sparking convos w/kids on police brutality ✔️An airline taking steps to hold passengers accountable if refuse to wear mask .@1011_News,2,1,['COVID19'],Coming up on /11 This Morning: Nearly new cases of in NE in hrs & nearly recoveries Viral video sparking convos w/kids on police brutality An airline taking steps to hold passengers accountable if refuse to wear mask .,"['come', '/11', 'thi', 'morn', ':', 'nearli', 'new', 'case', 'NE', 'hr', '&', 'nearli', 'recoveri', 'viral', 'video', 'spark', 'convo', 'w/kid', 'polic', 'brutal', 'An', 'airlin', 'take', 'step', 'hold', 'passeng', 'account', 'refus', 'wear', 'mask']",0,en,
199,199,1278228416622407681,2020-07-01,politicsoyvey,,@Desantis-young people were congregating in bars YOU reopened. You didn’t enforce distancing or require masks. You allowed that to happen! The Democratically run states did much better because they listened to experts not trump. When will you take #COVID19 seriously?,3,5,['COVID19'],-young people were congregating in bars YOU reopened. You didnt enforce distancing or require masks. You allowed that to happen! The Democratically run states did much better because they listened to experts not trump. When will you take seriously?,"['-young', 'peopl', 'congreg', 'bar', 'you', 'reopen', 'you', 'didnt', 'enforc', 'distanc', 'requir', 'mask', 'you', 'allow', 'happen', '!', 'the', 'democrat', 'run', 'state', 'much', 'better', 'listen', 'expert', 'trump', 'when', 'take', 'serious']",0,en,
200,200,1281066550116651013,2020-07-08,dermatophyte,,Mask mandates are so effective that LA county is still recording record cases and deaths despite having one since May 14th and California cases continue to climb as the entire state has had a mask mandate in place since June 18th #NoMasks #FacialFreedom #COVID19 #FactsNotFear pic.twitter.com/FP8DR3vrFQ,167,343,"['NoMasks', 'FacialFreedom', 'COVID19', 'FactsNotFear']",Mask mandates are so effective that LA county is still recording record cases and deaths despite having one since May th and California cases continue to climb as the entire state has had a mask mandate in place since June th,"['mask', 'mandat', 'effect', 'LA', 'counti', 'still', 'record', 'record', 'case', 'death', 'despit', 'one', 'sinc', 'may', 'th', 'california', 'case', 'continu', 'climb', 'entir', 'state', 'mask', 'mandat', 'place', 'sinc', 'june', 'th']",0,en,
201,201,1280995477819813889,2020-07-08,caseyworks,King County Public Health Clinic,"Wanna have a safe & healthy summer? Wear a mask, wash your hands, and get tested. Here's a list of 23 places you can get tested for FREE in King County. Many don't require an appointment; just show up! I expect my results in 1-2 days. Stay safe. #COVID19 #coronavirus pic.twitter.com/9uq1segMqx – at King County Public Health Clinic",23,32,"['COVID19', 'coronavirus']","Wanna have a safe & healthy summer? Wear a mask, wash your hands, and get tested. Here's a list of places you can get tested for FREE in King County. Many don't require an appointment; just show up! I expect my results in -2 days. Stay safe. at King County Public Health Clinic","['wan', 'na', 'safe', '&', 'healthi', 'summer', 'wear', 'mask', 'wash', 'hand', 'get', 'test', 'here', ""'s"", 'list', 'place', 'get', 'test', 'free', 'king', 'counti', 'mani', ""n't"", 'requir', 'appoint', 'show', '!', 'expect', 'result', '-2', 'day', 'stay', 'safe', 'king', 'counti', 'public', 'health', 'clinic']",0,en,
202,202,1280987933609127936,2020-07-08,newswithkevin,,"Exclusive: Spokane Symphony administrator fired for online posts calling #BLM a disease, people wearing masks “idiots,” & that #COVID19 is a govt conspiracy. Bethany Schoeff-Cotter was the director of artistic administration & a personnel manager. Pics of some now-deleted tweets: pic.twitter.com/S62dwePSmQ",37,107,"['BLM', 'COVID19']","Exclusive: Spokane Symphony administrator fired for online posts calling a disease, people wearing masks idiots, & that is a govt conspiracy. Bethany Schoeff-Cotter was the director of artistic administration & a personnel manager. Pics of some now-deleted tweets:","['exclus', ':', 'spokan', 'symphoni', 'administr', 'fire', 'onlin', 'post', 'call', 'diseas', 'peopl', 'wear', 'mask', 'idiot', '&', 'govt', 'conspiraci', 'bethani', 'schoeff-cott', 'director', 'artist', 'administr', '&', 'personnel', 'manag', 'pic', 'now-delet', 'tweet', ':']",0,en,
203,203,1280920139865751557,2020-07-08,drphillipsmd,,"And there it is. The full denial of the science trying to keep us safe. The best American minds in infectious disease make public health recs and he wants to overrule them, and still will not mandate masks nationally. His leadership in this crisis is an abject failure. #COVID19 …",274,701,['COVID19'],"And there it is. The full denial of the science trying to keep us safe. The best American minds in infectious disease make public health recs and he wants to overrule them, and still will not mandate masks nationally. His leadership in this crisis is an abject failure.","['and', 'the', 'full', 'denial', 'scienc', 'tri', 'keep', 'us', 'safe', 'the', 'best', 'american', 'mind', 'infecti', 'diseas', 'make', 'public', 'health', 'rec', 'want', 'overrul', 'still', 'mandat', 'mask', 'nation', 'hi', 'leadership', 'crisi', 'abject', 'failur']",0,en,
204,204,1280870645937692672,2020-07-08,jasonesteves,,"If you want @apsupdate schools to open in the fall, everyone (and I mean EVERYBODY) needs to mask up to limit the spread of #COVID19. Thanks, @KeishaBottoms! …",24,99,['COVID19'],"If you want schools to open in the fall, everyone (and I mean EVERYBODY) needs to mask up to limit the spread of . Thanks, !","['If', 'want', 'school', 'open', 'fall', 'everyon', 'mean', 'everybodi', 'need', 'mask', 'limit', 'spread', 'thank', '!']",0,en,
205,205,1280853831702765568,2020-07-08,davidmweissman,,It’s always Florida. This is why #COVID19 numbers are rising @GovRonDeSantis because people like that can’t be bothered to wear a mask. You can do something about that you know. …,40,104,['COVID19'],Its always Florida. This is why numbers are rising because people like that cant be bothered to wear a mask. You can do something about that you know.,"['it', 'alway', 'florida', 'thi', 'number', 'rise', 'peopl', 'like', 'cant', 'bother', 'wear', 'mask', 'you', 'someth', 'know']",0,en,
206,206,1280728355990573056,2020-07-08,melissa_wasser,,"My hometown and county are under a mandatory mask order because they have some of the highest numbers of #COVID19 cases in #Ohio. Pro tip: Wear the damn mask, wash your hands, and get your refund from the Facebook School of Law. I’m done with y’all. 🤦🏻‍♀️ @BadLegalTakes pic.twitter.com/0wpR0Y1CMK",10,74,"['COVID19', 'Ohio']","My hometown and county are under a mandatory mask order because they have some of the highest numbers of cases in . Pro tip: Wear the damn mask, wash your hands, and get your refund from the Facebook School of Law. Im done with yall.","['My', 'hometown', 'counti', 'mandatori', 'mask', 'order', 'highest', 'number', 'case', 'pro', 'tip', ':', 'wear', 'damn', 'mask', 'wash', 'hand', 'get', 'refund', 'facebook', 'school', 'law', 'Im', 'done', 'yall']",0,en,
207,207,1280961615832236038,2020-07-08,jerameyanderson,,To those wearing a mask—thank you for understanding it’s not just about your protection but for others as well. #COVID19 #WearAMask,6,50,"['COVID19', 'WearAMask']",To those wearing a maskthank you for understanding its not just about your protection but for others as well.,"['To', 'wear', 'maskthank', 'understand', 'protect', 'other', 'well']",0,en,
208,208,1280959661819064320,2020-07-08,benjamin_laird,,"Mr. @nenshi, and indeed all Calgarians. In light of the recent news out of Edmonton regarding the COVID outbreak and tragic loss of life at the Misericordia hospital, I implore you to implement mandatory mask wearing in all public places effective immediately. It’s time.#COVID19",14,79,['COVID19'],"Mr. , and indeed all Calgarians. In light of the recent news out of Edmonton regarding the COVID outbreak and tragic loss of life at the Misericordia hospital, I implore you to implement mandatory mask wearing in all public places effective immediately. Its time.","['mr.', 'inde', 'calgarian', 'In', 'light', 'recent', 'news', 'edmonton', 'regard', 'covid', 'outbreak', 'tragic', 'loss', 'life', 'misericordia', 'hospit', 'implor', 'implement', 'mandatori', 'mask', 'wear', 'public', 'place', 'effect', 'immedi', 'it', 'time']",0,en,
209,209,1280957207954235395,2020-07-08,jenstormwarner,,"Just got this Emergency Alert on my phone. Wear your masks people, this is serious😷! #COVID19 *If you are in Franklin County, Ohio and did not receive this alert, go to your settings and make sure your government alerts are on (in the notifications tab for iOS)* pic.twitter.com/FWdMXwwE3L",20,54,['COVID19'],"Just got this Emergency Alert on my phone. Wear your masks people, this is serious! *If you are in Franklin County, Ohio and did not receive this alert, go to your settings and make sure your government alerts are on (in the notifications tab for iOS)*","['just', 'got', 'emerg', 'alert', 'phone', 'wear', 'mask', 'peopl', 'seriou', '!', '*', 'If', 'franklin', 'counti', 'ohio', 'receiv', 'alert', 'go', 'set', 'make', 'sure', 'govern', 'alert', 'notif', 'tab', 'io', '*']",0,en,
210,210,1280837556507213825,2020-07-08,jerameyanderson,,"Governor @tatereeves hospitals around the country are being overwhelmed due to the increased number of #COVID19 cases, let’s prevent this from happening here. Issue an executive order mandating masks be worn in public. This is Day 3 of my request! Let’s act NOW!",13,40,['COVID19'],"Governor hospitals around the country are being overwhelmed due to the increased number of cases, lets prevent this from happening here. Issue an executive order mandating masks be worn in public. This is Day of my request! Lets act NOW!","['governor', 'hospit', 'around', 'countri', 'overwhelm', 'due', 'increas', 'number', 'case', 'let', 'prevent', 'happen', 'issu', 'execut', 'order', 'mandat', 'mask', 'worn', 'public', 'thi', 'day', 'request', '!', 'let', 'act', 'now', '!']",0,en,
