,Unnamed: 0,tweet_id,date,screen_name,location,tweet,retweet_count,favourites_count,hashtags,clean_tweet,processed_tweet,followers_count,language,verified
0,0,1295414504591962112,2020-08-17,laurie_garrett,,"Rev. Jun Kwang-hoon has #COVID19 but that hasn't stopped him from holding his Sarang Jeil Church Christian mega-services, mask-free, in Seoul. South Korea had the virus beat, but now >300 church members test +, biggest daily count since May. …",192,258,['COVID19'],"Rev. Jun Kwang-hoon has but that hasn't stopped him from holding his Sarang Jeil Church Christian mega-services, mask-free, in Seoul. South Korea had the virus beat, but now >300 church members test +, biggest daily count since May.","['rev', 'jun', 'kwang-hoon', ""n't"", 'stop', 'hold', 'sarang', 'jeil', 'church', 'christian', 'mega-servic', 'mask-fre', 'seoul', 'south', 'korea', 'viru', 'beat', '>', '300', 'church', 'member', 'test', '+', 'biggest', 'daili', 'count', 'sinc', 'may']",0,en,
1,1,1295459459905585153,2020-08-17,lcbandroom,,Music to my ears! The students played for the first time in class in 5 months!!! 😊 They also did a great job adjusting to the face and instrument masks. #happyteacher #bpsne #COVID19 pic.twitter.com/O6jg5xstlj,0,30,"['happyteacher', 'bpsne', 'COVID19']",Music to my ears! The students played for the first time in class in months!!! They also did a great job adjusting to the face and instrument masks.,"['music', 'ear', '!', 'the', 'student', 'play', 'first', 'time', 'class', 'month', '!', '!', '!', 'they', 'also', 'great', 'job', 'adjust', 'face', 'instrument', 'mask']",0,en,
2,2,1295409591031746566,2020-08-17,ca_waterkeepers,,"#COVID19 waste is clogging our oceans & waterways with gloves, masks, hand sanitizer & other vital PPE. Consider using a reusable mask & to dispose of your PPE safely to create a healthier environment – not a more toxic one: . pic.twitter.com/I8NBj5zjDo",35,24,['COVID19'],"waste is clogging our oceans & waterways with gloves, masks, hand sanitizer & other vital PPE. Consider using a reusable mask & to dispose of your PPE safely to create a healthier environment not a more toxic one: .","['wast', 'clog', 'ocean', '&', 'waterway', 'glove', 'mask', 'hand', 'sanit', '&', 'vital', 'ppe', 'consid', 'use', 'reusabl', 'mask', '&', 'dispos', 'ppe', 'safe', 'creat', 'healthier', 'environ', 'toxic', 'one', ':']",0,en,
3,3,1295344793120374784,2020-08-17,skyerosedesigns,,Has COVID19 stopped you from wearing your favorite clothes because you have to match it to a mask. At Skye-Rose Designs makes fashion healthy and safe. Go grab your favorite task mask today! pic.twitter.com/r1ok93t3Ir,0,0,[],Has COVID19 stopped you from wearing your favorite clothes because you have to match it to a mask. At Skye-Rose Designs makes fashion healthy and safe. Go grab your favorite task mask today!,"['ha', 'covid19', 'stop', 'wear', 'favorit', 'cloth', 'match', 'mask', 'At', 'skye-ros', 'design', 'make', 'fashion', 'healthi', 'safe', 'Go', 'grab', 'favorit', 'task', 'mask', 'today', '!']",0,en,
4,4,1295260175897489411,2020-08-17,jdouglaslittle,,"Our COVID19 situation only looks good compared to Trump. We are middle of the pack. Many mistakes were make. Closed too late, opened too early. Too many border exemptions, not enough mask promotion, ...",0,1,[],"Our COVID19 situation only looks good compared to Trump. We are middle of the pack. Many mistakes were make. Closed too late, opened too early. Too many border exemptions, not enough mask promotion, ...","['our', 'covid19', 'situat', 'look', 'good', 'compar', 'trump', 'We', 'middl', 'pack', 'mani', 'mistak', 'make', 'close', 'late', 'open', 'earli', 'too', 'mani', 'border', 'exempt', 'enough', 'mask', 'promot', '...']",0,en,
5,5,1295232463053058048,2020-08-17,sharleesmad,,"This zombie is coming after anyone who is out without a mask ,so if I were you ,I'd hustile,before you become one of the walking dead . Seriously covid19 is out there it wants to invade you,infect you and kill you ,that's is goal and it's only job . Wear your mask !!! pic.twitter.com/ArrFwrRGG6",1,4,[],"This zombie is coming after anyone who is out without a mask ,so if I were you ,I'd hustile,before you become one of the walking dead . Seriously covid19 is out there it wants to invade you,infect you and kill you ,that's is goal and it's only job . Wear your mask !!!","['thi', 'zombi', 'come', 'anyon', 'without', 'mask', ""'d"", 'hustil', 'becom', 'one', 'walk', 'dead', 'serious', 'covid19', 'want', 'invad', 'infect', 'kill', ""'s"", 'goal', ""'s"", 'job', 'wear', 'mask', '!', '!', '!']",0,en,
6,6,1295333289847328769,2020-08-17,georges_namnoum,,Wear your mask Correctly. #COVID19 pic.twitter.com/1UsDwN5YKn,4,8,['COVID19'],Wear your mask Correctly.,"['wear', 'mask', 'correctli']",0,en,
7,7,1295315509525852160,2020-08-17,picardonhealth,,"Kids, masks😷and anxiety — a back-to-school guide for worried parents, by @JohannaEChis … via @torontostar #Covid19 #BackToSchool🎒",11,16,"['Covid19', 'BackToSchool']","Kids, masksand anxiety a back-to-school guide for worried parents, by via","['kid', 'masksand', 'anxieti', 'back-to-school', 'guid', 'worri', 'parent', 'via']",0,en,
8,8,1295302893591986177,2020-08-17,gamer__guy,,"No masks, no social distancing, next #Covid19 hot spot. #Jackass #idiots …",1,0,"['Covid19', 'Jackass', 'idiots']","No masks, no social distancing, next hot spot.","['No', 'mask', 'social', 'distanc', 'next', 'hot', 'spot']",0,en,
9,9,1295292740087971842,2020-08-17,abc_columbia,,"Georgia governor allows local mask mandates, with limits … #COVID19 pic.twitter.com/Pkd19aVpDA",0,0,['COVID19'],"Georgia governor allows local mask mandates, with limits","['georgia', 'governor', 'allow', 'local', 'mask', 'mandat', 'limit']",0,en,
