date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
2020-09-09 22:07:09,3619.0,9.0,en,USA,0.0,SFB18,@Gil1957 @ProjectLincoln He doesn't lead by example holds rallies without social distancing and masked required. These actions lead to the spread of Covid and any death caused strictly by covid or because of complications are deaths that could have possibly been prevented.,1.3038172433489183e+18,0.0,[],He doesn't lead by example holds rallies without social distancing and masked required. These actions lead to the spread of Covid and any death caused strictly by covid or because of complications are deaths that could have possibly been prevented.,"['He', ""n't"", 'lead', 'exampl', 'hold', 'ralli', 'without', 'social', 'distanc', 'mask', 'requir', 'these', 'action', 'lead', 'spread', 'covid', 'death', 'caus', 'strictli', 'covid', 'complic', 'death', 'could', 'possibl', 'prevent']"
2020-09-09 22:08:05,23.0,141.0,en,Queens,0.0,laurenxf,Cool! @PeterPanBus runs their busses at full capacity so distancing is impossible. Also mask wearing is not enforced once inside. Yay Traveling Covid!,1.3038174777643295e+18,0.0,[],Cool! runs their busses at full capacity so distancing is impossible. Also mask wearing is not enforced once inside. Yay Traveling Covid!,"['cool', '!', 'run', 'buss', 'full', 'capac', 'distanc', 'imposs', 'also', 'mask', 'wear', 'enforc', 'insid', 'yay', 'travel', 'covid', '!']"
2020-09-09 22:09:42,43433.0,420.0,en,"Chicago, IL",0.0,Barbtomko1,"Anyone with common sense knew/knows Covid wasn’t/isn’t a “hoax”-“ fake news” or the Dems engineering a world-wide pandemic to “get back” at him.wear masks, practice social distancing, only needed shopping/traveling! Others, believing trump’s lies keep Covid alive and killing!",1.30381788800077e+18,0.0,[],"Anyone with common sense knew/knows Covid wasnt/isnt a hoax- fake news or the Dems engineering a world-wide pandemic to get back at him.wear masks, practice social distancing, only needed shopping/traveling! Others, believing trumps lies keep Covid alive and killing!","['anyon', 'common', 'sens', 'knew/know', 'covid', 'wasnt/isnt', 'hoax-', 'fake', 'news', 'dem', 'engin', 'world-wid', 'pandem', 'get', 'back', 'him.wear', 'mask', 'practic', 'social', 'distanc', 'need', 'shopping/travel', '!', 'other', 'believ', 'trump', 'lie', 'keep', 'covid', 'aliv', 'kill', '!']"
2020-09-09 22:12:31,840.0,39.0,en,"Albany, NY",0.0,DfSheehy,"@MZHemingway @BobQuarantine So, he refuses to wear a mask, Holds rallies on the Whitehouse lawn without enforcing social distancing, Hermon Cane dies of COVID soon after a Trump Rally. Maybe he caught it there maybe he didn't.. we'll never know... Yup, that's downplaying it.",1.303818596074877e+18,0.0,[],"So, he refuses to wear a mask, Holds rallies on the Whitehouse lawn without enforcing social distancing, Hermon Cane dies of COVID soon after a Trump Rally. Maybe he caught it there maybe he didn't.. we'll never know... Yup, that's downplaying it.","['So', 'refus', 'wear', 'mask', 'hold', 'ralli', 'whitehous', 'lawn', 'without', 'enforc', 'social', 'distanc', 'hermon', 'cane', 'die', 'covid', 'soon', 'trump', 'ralli', 'mayb', 'caught', 'mayb', ""n't"", '..', ""'ll"", 'never', 'know', '...', 'yup', ""'s"", 'downplay']"
2020-09-11 04:02:35,11496.0,108912.0,en,"Sarasota, Florida USA",238.0,my3monkees,"RT @ColSDM: @JoeBiden wins the #COVID social distancing mask prize @realDonaldTrump will win the Presidency, House &amp; Senate in a stunning…",1.3042690812107694e+18,0.0,['COVID'],": wins the social distancing mask prize will win the Presidency, House &amp; Senate in a stunning","[':', 'win', 'social', 'distanc', 'mask', 'prize', 'win', 'presid', 'hous', '&', 'amp', 'senat', 'stun']"
2020-09-11 04:03:09,67458.0,457.0,en,"Dallas, TX",0.0,bellobiciduo,@RepSusieLee @realDonaldTrump 4/ march 2nd susie’s first tweet regarding covid with no mention of masks or social distancing,1.304269222382637e+18,0.0,[],/ march nd susies first tweet regarding covid with no mention of masks or social distancing,"['/', 'march', 'nd', 'susi', 'first', 'tweet', 'regard', 'covid', 'mention', 'mask', 'social', 'distanc']"
2020-09-11 04:06:40,7.0,0.0,en,"Hillsboro,Ohio",1.0,theodoreflader,"@GovMikeDeWine So what, a bunch of kids get sick for a couple of weeks. Kids have been getting sick well before covid 19. Most are never hospitalized. Let's end the mask and social distancing mandate. We can follow Idahos lead.",1.304270108718764e+18,0.0,[],"So what, a bunch of kids get sick for a couple of weeks. Kids have been getting sick well before covid . Most are never hospitalized. Let's end the mask and social distancing mandate. We can follow Idahos lead.","['So', 'bunch', 'kid', 'get', 'sick', 'coupl', 'week', 'kid', 'get', 'sick', 'well', 'covid', 'most', 'never', 'hospit', 'let', ""'s"", 'end', 'mask', 'social', 'distanc', 'mandat', 'We', 'follow', 'idaho', 'lead']"
2020-09-11 04:08:40,33941.0,854.0,en,United States,3.0,Vader0577,"@Acosta Did you show the same concern about the the March on Washington the day after the RNC when 55,000 people attended with little or no social distancing? Or does Covid only affect Republican gatherings?",1.3042706094054318e+18,0.0,[],Did you show the same concern about the the March on Washington the day after the RNC when people attended with little or no social distancing? Or does Covid only affect Republican gatherings?,"['did', 'show', 'concern', 'march', 'washington', 'day', 'rnc', 'peopl', 'attend', 'littl', 'social', 'distanc', 'Or', 'covid', 'affect', 'republican', 'gather']"
2020-09-11 04:11:08,65117.0,252.0,en,"Florida, USA ",0.0,cdcook1129,"@SocialistMMA If Trump had not lied to the American people about coronavirus, Herman Cain might still be alive. Instead he went to a Trump rally in Tulsa, no one wearing masks, no social distancing. Two weeks later he died. You've also been reported for targeted harassment.",1.304271230917382e+18,0.0,[],"If Trump had not lied to the American people about coronavirus, Herman Cain might still be alive. Instead he went to a Trump rally in Tulsa, no one wearing masks, no social distancing. Two weeks later he died. You've also been reported for targeted harassment.","['If', 'trump', 'lie', 'american', 'peopl', 'coronaviru', 'herman', 'cain', 'might', 'still', 'aliv', 'instead', 'went', 'trump', 'ralli', 'tulsa', 'one', 'wear', 'mask', 'social', 'distanc', 'two', 'week', 'later', 'die', 'you', ""'ve"", 'also', 'report', 'target', 'harass']"
2020-09-11 04:11:22,40515.0,12226.0,en,"South Carolina, USA",1.0,rubydiana,"And Trump holds rallies with few Masks and NO social distancing. It only shows he doesn't care about his followers wellness, only his re-election. Trumpians, you may not die from COVID but could be left with a lifetime disability. Stay SAFE. Wear your Mask. America CARES! 🇺🇸.",1.3042712897675592e+18,0.0,[],"And Trump holds rallies with few Masks and NO social distancing. It only shows he doesn't care about his followers wellness, only his re-election. Trumpians, you may not die from COVID but could be left with a lifetime disability. Stay SAFE. Wear your Mask. America CARES! .","['and', 'trump', 'hold', 'ralli', 'mask', 'NO', 'social', 'distanc', 'It', 'show', ""n't"", 'care', 'follow', 'well', 're-elect', 'trumpian', 'may', 'die', 'covid', 'could', 'left', 'lifetim', 'disabl', 'stay', 'safe', 'wear', 'mask', 'america', 'care', '!']"
2020-09-11 04:12:32,104787.0,9954.0,en,South Carolina,0.0,frequentbuyer1,@TheDiane0905 It’s gross enough pre-covid. Thinking about that now that we’re all living in masks &amp; social distancing makes it even more repulsive. I’m sure there’s a logical explanation for it.,1.3042715851095122e+18,0.0,[],Its gross enough pre-covid. Thinking about that now that were all living in masks &amp; social distancing makes it even more repulsive. Im sure theres a logical explanation for it.,"['it', 'gross', 'enough', 'pre-covid', 'think', 'live', 'mask', '&', 'amp', 'social', 'distanc', 'make', 'even', 'repuls', 'Im', 'sure', 'there', 'logic', 'explan']"
2020-09-11 04:13:56,12299.0,19330.0,en,"Jacksboro, TX",0.0,wranglrlover,"@mslandingham Try being out of the dating scene 7 years, 50 years old and dealing with social distancing because of covid. I’m over it. And they wonder why so many older gay men become bitter.",1.3042719353045934e+18,0.0,[],"Try being out of the dating scene years, years old and dealing with social distancing because of covid. Im over it. And they wonder why so many older gay men become bitter.","['tri', 'date', 'scene', 'year', 'year', 'old', 'deal', 'social', 'distanc', 'covid', 'Im', 'and', 'wonder', 'mani', 'older', 'gay', 'men', 'becom', 'bitter']"
2020-09-11 04:18:43,85705.0,1146.0,en,United States,9548.0,RoyRuoff,RT @RealEricCarmen: Why aren't all the homeless in San Francisco and NYC dead from COVID by now? No social distancing. No masks. Drug and a…,1.3042731410202092e+18,0.0,[],: Why aren't all the homeless in San Francisco and NYC dead from COVID by now? No social distancing. No masks. Drug and a,"[':', 'whi', ""n't"", 'homeless', 'san', 'francisco', 'nyc', 'dead', 'covid', 'No', 'social', 'distanc', 'No', 'mask', 'drug']"
2020-09-22 04:11:04,27464.0,419.0,en,"Chandler, AZ Los Lunas, NM",191.0,BoondockSt17,"RT @JordanSchachtel: Think about what these proposed permanent COVID soc distancing policies mean. Destructive &amp; dumb, especially for viru…",1.308257481982845e+18,0.0,[],": Think about what these proposed permanent COVID soc distancing policies mean. Destructive &amp; dumb, especially for viru","[':', 'think', 'propos', 'perman', 'covid', 'soc', 'distanc', 'polici', 'mean', 'destruct', '&', 'amp', 'dumb', 'especi', 'viru']"
2020-09-22 04:12:13,27523.0,1569.0,en,"Houston, TX",8484.0,nidaxxxo,"RT @freyalkh: Sick of hearing the words lockdown, social distancing &amp; coronavirus",1.3082577712641065e+18,0.0,[],": Sick of hearing the words lockdown, social distancing &amp; coronavirus","[':', 'sick', 'hear', 'word', 'lockdown', 'social', 'distanc', '&', 'amp', 'coronaviru']"
