Unnamed: 0,date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
19,2020-03-28 15:23:35,2010.0,574.0,en,"New York, NY",2.0,caumike,As social distancing becomes the new normal - how will industries that rely on maximizing space (ie:airlines) adapt to the new normal ? #COVID19 #business #startup #businessmodels #airlines,1.243921686380122e+18,0.0,"['COVID19', 'business', 'startup', 'businessmodels', 'airlines']",As social distancing becomes the new normal - how will industries that rely on maximizing space (ie:airlines) adapt to the new normal ?,"['As', 'social', 'distanc', 'becom', 'new', 'normal', '-', 'industri', 'reli', 'maxim', 'space', 'ie', ':', 'airlin', 'adapt', 'new', 'normal']"
25,2020-03-28 15:23:44,44716.0,734.0,en,"Detroit, MI",2010.0,daarryyn,"RT @CNN: Former President Obama is urging Americans to continue social distancing in an effort to stem the spread of coronavirus, a noticea…",1.243921724728623e+18,0.0,[],": Former President Obama is urging Americans to continue social distancing in an effort to stem the spread of coronavirus, a noticea","[':', 'former', 'presid', 'obama', 'urg', 'american', 'continu', 'social', 'distanc', 'effort', 'stem', 'spread', 'coronaviru', 'noticea']"
36,2020-03-28 15:26:38,763.0,131.0,en,The United States of America,0.0,TweeterOther,Do you think ⁦@realDonaldTrump⁩ was watching #LogansRun when he thought of the idea to rebrand the concept of #DeathPanels to stop #COVID19 by hurling the bodies of our elderly into the fire that keeps the economy running? Who needs social distancing when Donald is bored???,1.2439224535392297e+18,0.0,"['LogansRun', 'DeathPanels', 'COVID19']",Do you think was watching when he thought of the idea to rebrand the concept of to stop by hurling the bodies of our elderly into the fire that keeps the economy running? Who needs social distancing when Donald is bored???,"['Do', 'think', 'watch', 'thought', 'idea', 'rebrand', 'concept', 'stop', 'hurl', 'bodi', 'elderli', 'fire', 'keep', 'economi', 'run', 'who', 'need', 'social', 'distanc', 'donald', 'bore']"
24,2020-03-28 15:26:58,2836.0,3027.0,en,"Nashville, TN",4.0,D6Leader,"RT @NAFWB: During this time of #COVID19 social distancing, @D6Family has made their resources for #discipleship at home (some of them free!…",1.2439225380084e+18,0.0,"['COVID19', 'discipleship']",": During this time of social distancing, has made their resources for at home (some of them free!","[':', 'dure', 'time', 'social', 'distanc', 'made', 'resourc', 'home', 'free', '!']"
14,2020-03-28 15:28:17,753.0,1084.0,en,"Washington, DC",0.0,JoannDonnellan,"5/ ""Microbes know no borders. There will be a time Boise will face a surge in their health care settings so it's best to prepare both personal protection equipment and to double down on social distancing to reduce the surge before it comes."" #COVID19",1.2439228692031078e+18,0.0,['COVID19'],"/ ""Microbes know no borders. There will be a time Boise will face a surge in their health care settings so it's best to prepare both personal protection equipment and to double down on social distancing to reduce the surge before it comes.""","['/', '``', 'microb', 'know', 'border', 'there', 'time', 'bois', 'face', 'surg', 'health', 'care', 'set', ""'s"", 'best', 'prepar', 'person', 'protect', 'equip', 'doubl', 'social', 'distanc', 'reduc', 'surg', 'come', ""''""]"
41,2020-03-28 15:29:48,471.0,692.0,en,"Chicago, IL",0.0,AmpBioResearch,"@MSollender Our ""like"" is for the use of consumer (not N95) masks by the public, NOT for easing social distancing too soon. It's not about getting back to ""normal"" ASAP, it's about what we can do to help society in a gradual journal to resemble pre-COVID hopefully by end of summer 2021.",1.2439232508848128e+18,0.0,[],"Our ""like"" is for the use of consumer (not N95) masks by the public, NOT for easing social distancing too soon. It's not about getting back to ""normal"" ASAP, it's about what we can do to help society in a gradual journal to resemble pre-COVID hopefully by end of summer .","['our', '``', 'like', ""''"", 'use', 'consum', 'n95', 'mask', 'public', 'not', 'eas', 'social', 'distanc', 'soon', 'It', ""'s"", 'get', 'back', '``', 'normal', ""''"", 'asap', ""'s"", 'help', 'societi', 'gradual', 'journal', 'resembl', 'pre-covid', 'hope', 'end', 'summer']"
7,2020-03-28 15:30:13,32.0,4119.0,en,"Coos Bay, Oregon",1.0,TheWorldLink,"School closings, social distancing, and canceled events are making news headlines today – just as they did a century ago in Coos County. The COVID-19 (or coronavirus) crisis brings to mind an influenza pandemic during World War I.",1.243923356249981e+18,1.0,[],"School closings, social distancing, and canceled events are making news headlines today just as they did a century ago in Coos County. The COVID-19 (or coronavirus) crisis brings to mind an influenza pandemic during World War I.","['school', 'close', 'social', 'distanc', 'cancel', 'event', 'make', 'news', 'headlin', 'today', 'centuri', 'ago', 'coo', 'counti', 'the', 'covid-19', 'coronaviru', 'crisi', 'bring', 'mind', 'influenza', 'pandem', 'world', 'war']"
37,2020-03-28 15:31:22,10259.0,68.0,en,Oklahoma City,1326.0,TenaciousTay32,RT @JoeNBC: 21-year-old who posted about not social distancing gets coronavirus. “It’s really hard to breathe. I’ve coughed until my throa…,1.243923645619155e+18,0.0,[],: -year-old who posted about not social distancing gets coronavirus. Its really hard to breathe. Ive coughed until my throa,"[':', '-year-old', 'post', 'social', 'distanc', 'get', 'coronaviru', 'it', 'realli', 'hard', 'breath', 'ive', 'cough', 'throa']"
3,2020-03-28 15:32:47,7469.0,4489.0,en,Texas,0.0,MangusColorado,New Yorkers defy social distancing with 'coronavirus potlucks' #SmartNews,1.243924002109657e+18,0.0,['SmartNews'],New Yorkers defy social distancing with 'coronavirus potlucks',"['new', 'yorker', 'defi', 'social', 'distanc', ""'coronaviru"", 'potluck']"
20,2020-03-28 15:36:37,880.0,120.0,en,"Tomah, WI",0.0,tony_all1word,"Look, I would NEVER wish the Coronavirus on anyone. But seeing the stories of these “influencers” licking toilet seats, or subway rails, and not practicing social distancing, and get the virus is somewhat satisfactory.",1.243924967114322e+18,0.0,[],"Look, I would NEVER wish the Coronavirus on anyone. But seeing the stories of these influencers licking toilet seats, or subway rails, and not practicing social distancing, and get the virus is somewhat satisfactory.","['look', 'would', 'never', 'wish', 'coronaviru', 'anyon', 'but', 'see', 'stori', 'influenc', 'lick', 'toilet', 'seat', 'subway', 'rail', 'practic', 'social', 'distanc', 'get', 'viru', 'somewhat', 'satisfactori']"
